ID,Tipo,Concepto,Monto,Categoria,Fecha,Imagen
1,Ingreso,DEPOSITO INCIAL,1500.0,Vivienda,2025-12-03,Sin imagen
2,Gasto,PAGO DE ARENA,205.0,Vivienda,2025-12-16,Sin imagen
3,Gasto,PAGO MAESTROS,180.0,Vivienda,2025-12-19,Sin imagen
4,Gasto,TABLAS Y PINGOS,64.35,Vivienda,2025-12-24,Sin imagen
5,Gasto,PAGO OFICIAL,140.0,Vivienda,2026-01-16,Sin imagen
6,Gasto,PAGO MAESTRO,180.0,Vivienda,2026-01-16,Sin imagen
7,Gasto,PAGO MATERIALES,23.75,Vivienda,2026-01-20,Sin imagen
8,Gasto,PAGO MATERIALES,67.8,Vivienda,2026-01-21,Sin imagen
9,Gasto,PAGO MAESTROS,210.0,Vivienda,2026-01-23,Sin imagen
11,Ingreso,Dinero carro,10.0,Otros,2026-01-24,Sin imagen
12,Gasto,Pago luz diembre ,7.84,Vivienda,2026-01-24,Sin imagen
13,Gasto,PAGO RIPIO GERMANIA BARBECHO,0.0,Vivienda,2026-01-26,Sin imagen
14,Gasto,FACTURA CEMENTO,219.0,Vivienda,2026-01-26,Sin imagen
15,Gasto,Materiales ferretería plástico negro,20.0,Vivienda,2026-01-27,doc_15.jpg
16,Gasto,Pala punta bellota,12.5,Vivienda,2026-01-27,doc_16.jpg
17,Gasto,Pago ferretería disco corte,11.25,Vivienda,2026-01-27,doc_17.jpg
18,Gasto,Bloques,385.53,Vivienda,2026-01-27,doc_18.jpg
19,Ingreso,Deposito,1000.0,Vivienda,2026-01-27,doc_19.jpg
20,Gasto,Pago maestros,180.0,Vivienda,2026-01-30,doc_20.jpg
21,Gasto,Pago oficial,150.0,Vivienda,2026-01-30,Sin imagen
22,Gasto,Pago ripio correccion,95.0,Otros,2026-01-26,Sin imagen
23,Ingreso,Pago deuda pablo,20.0,Alimentación,2026-01-26,Sin imagen
24,Gasto,Pago maestro,180.0,Vivienda,2026-02-06,doc_24.jpg
